study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB61818	ERP146900	SAMEA113430478	ERS15425593	ERX10846596	ERR11439289	ERA23350737	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	GLN201_GRG001_IM	76	PAIRED	Targeted-Capture	GENOMIC	RANDOM	6333877	344310896	Max Planck Institute for Evolutionary Anthropology	2023-05-16	2023-05-16	Illumina HiSeq 4000 paired end sequencing	Extensive pedigrees reveal the social organisation of a Neolithic community	5101f9ab-0fc8-4f5d-a9fc-5c55b144ba2f	ena-EXPERIMENT-TAB-15-05-2023-12:25:42:034-22776	ena-RUN-TAB-15-05-2023-12:25:42:035-22777	187747162	b520c247128444761b9ef1b4c5670968	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/089/ERR11439289/ERR11439289.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR114/089/ERR11439289/ERR11439289.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/089/ERR11439289/ERR11439289.fastq.gz	294791185;6013008	77507f882eb002b74d7922bf5aa52daa;8b7208cd28f4590dec806cc55d8e3386	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439289/GLN201_GRG001_IM.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439289/GLN201_GRG001_IM.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439289/GLN201_GRG001_IM.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439289/GLN201_GRG001_IM.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439289/GLN201_GRG001_IM.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439289/GLN201_GRG001_IM.bam.bai	BAM;BAI						GLN201		GLN201		2023-05-15
PRJEB61818	ERP146900	SAMEA113430479	ERS15425594	ERX10846600	ERR11439293	ERA23350737	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	GLN202_GRG002_IM	76	PAIRED	Targeted-Capture	GENOMIC	RANDOM	5247621	274261828	Max Planck Institute for Evolutionary Anthropology	2023-05-16	2023-05-16	Illumina HiSeq 4000 paired end sequencing	Extensive pedigrees reveal the social organisation of a Neolithic community	5101f9ab-0fc8-4f5d-a9fc-5c55b144ba2f	ena-EXPERIMENT-TAB-15-05-2023-12:25:42:036-22784	ena-RUN-TAB-15-05-2023-12:25:42:036-22785	148203578	fcdd122ed01e8612f855c57528eb7bdb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/093/ERR11439293/ERR11439293.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR114/093/ERR11439293/ERR11439293.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/093/ERR11439293/ERR11439293.fastq.gz	238982866;5968072	2cd59119128b08a7184c825861be36a9;0b5cc09f9a656ee7e154ebbacf6a242e	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439293/GLN202_GRG002_IM.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439293/GLN202_GRG002_IM.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439293/GLN202_GRG002_IM.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439293/GLN202_GRG002_IM.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439293/GLN202_GRG002_IM.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439293/GLN202_GRG002_IM.bam.bai	BAM;BAI						GLN202		GLN202		2023-05-15
PRJEB61818	ERP146900	SAMEA113430479	ERS15425594	ERX10846602	ERR11439295	ERA23350737	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	GLN202_GRG002_TF	76	PAIRED	Targeted-Capture	GENOMIC	RANDOM	5385786	307753079	Max Planck Institute for Evolutionary Anthropology	2023-05-16	2023-05-16	Illumina HiSeq 4000 paired end sequencing	Extensive pedigrees reveal the social organisation of a Neolithic community	5101f9ab-0fc8-4f5d-a9fc-5c55b144ba2f	ena-EXPERIMENT-TAB-15-05-2023-12:25:42:036-22788	ena-RUN-TAB-15-05-2023-12:25:42:036-22789	174858877	a2802fabece72a769207d2e6555c0932	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/095/ERR11439295/ERR11439295.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR114/095/ERR11439295/ERR11439295.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/095/ERR11439295/ERR11439295.fastq.gz	247633978;5928328	b24c3e8ec0d593ebf095786a854a1a61;42f9bcc4aacd44aaf166a39d448f35bb	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439295/GLN202_GRG002_TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439295/GLN202_GRG002_TF.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439295/GLN202_GRG002_TF.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439295/GLN202_GRG002_TF.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439295/GLN202_GRG002_TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439295/GLN202_GRG002_TF.bam.bai	BAM;BAI						GLN202		GLN202		2023-05-15
PRJEB61818	ERP146900	SAMEA113430481	ERS15425596	ERX10846609	ERR11439302	ERA23350737	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	GLN206_GRG004_YC		SINGLE	Targeted-Capture	GENOMIC	RANDOM	5239767	332458959	Max Planck Institute for Evolutionary Anthropology	2023-05-16	2023-05-16	Illumina HiSeq 4000 sequencing	Extensive pedigrees reveal the social organisation of a Neolithic community	5101f9ab-0fc8-4f5d-a9fc-5c55b144ba2f	ena-EXPERIMENT-TAB-15-05-2023-12:25:42:038-22802	ena-RUN-TAB-15-05-2023-12:25:42:038-22803	188139463	275cd07b9272fff4f38f44d328736170	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR11439302/ERR11439302.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR114/002/ERR11439302/ERR11439302.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR11439302/ERR11439302.fastq.gz	280581114;6006384	81d1cf578b753688eeab6520d047d197;9d48af4d80ca07455ee4c061d46eb1fb	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439302/GLN206_GRG004_YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439302/GLN206_GRG004_YC.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439302/GLN206_GRG004_YC.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439302/GLN206_GRG004_YC.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439302/GLN206_GRG004_YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439302/GLN206_GRG004_YC.bam.bai	BAM;BAI						GLN206		GLN206		2023-05-15
PRJEB61818	ERP146900	SAMEA113430482	ERS15425597	ERX10846612	ERR11439305	ERA23350737	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	GLN207A_GRG005_TF		SINGLE	Targeted-Capture	GENOMIC	RANDOM	5217277	300881749	Max Planck Institute for Evolutionary Anthropology	2023-05-16	2023-05-16	Illumina HiSeq 4000 sequencing	Extensive pedigrees reveal the social organisation of a Neolithic community	5101f9ab-0fc8-4f5d-a9fc-5c55b144ba2f	ena-EXPERIMENT-TAB-15-05-2023-12:25:42:039-22808	ena-RUN-TAB-15-05-2023-12:25:42:039-22809	186326152	2605a1b2bbcddfa79a880b118b325dd7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR11439305/ERR11439305.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR114/005/ERR11439305/ERR11439305.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR11439305/ERR11439305.fastq.gz	263234130;5977976	98aa71b2fc09a1f62156070a2eaf7f7d;1d91eef7da53126fdd01a70b05da533d	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439305/GLN207A_GRG005_TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439305/GLN207A_GRG005_TF.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439305/GLN207A_GRG005_TF.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439305/GLN207A_GRG005_TF.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439305/GLN207A_GRG005_TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439305/GLN207A_GRG005_TF.bam.bai	BAM;BAI						GLN207A		GLN207A		2023-05-15
PRJEB61818	ERP146900	SAMEA113430482	ERS15425597	ERX10846613	ERR11439306	ERA23350737	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	GLN207A_GRG005_YC		SINGLE	Targeted-Capture	GENOMIC	RANDOM	4692710	292567961	Max Planck Institute for Evolutionary Anthropology	2023-05-16	2023-05-16	Illumina HiSeq 4000 sequencing	Extensive pedigrees reveal the social organisation of a Neolithic community	5101f9ab-0fc8-4f5d-a9fc-5c55b144ba2f	ena-EXPERIMENT-TAB-15-05-2023-12:25:42:039-22810	ena-RUN-TAB-15-05-2023-12:25:42:040-22811	165416572	f608da7a3c9af09ce759cad1c56bca4d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR11439306/ERR11439306.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR114/006/ERR11439306/ERR11439306.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR11439306/ERR11439306.fastq.gz	251411070;5969296	a6f895120e6d4a5da6d1e5e9423a0378;aaacf4324e54b538213673e5cbe39f60	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439306/GLN207A_GRG005_YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439306/GLN207A_GRG005_YC.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439306/GLN207A_GRG005_YC.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439306/GLN207A_GRG005_YC.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439306/GLN207A_GRG005_YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439306/GLN207A_GRG005_YC.bam.bai	BAM;BAI						GLN207A		GLN207A		2023-05-15
PRJEB61818	ERP146900	SAMEA113430484	ERS15425599	ERX10846617	ERR11439310	ERA23350737	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	GLN208_GRG007_IM		SINGLE	Targeted-Capture	GENOMIC	RANDOM	8129404	451633243	Max Planck Institute for Evolutionary Anthropology	2023-05-16	2023-05-16	Illumina HiSeq 4000 sequencing	Extensive pedigrees reveal the social organisation of a Neolithic community	5101f9ab-0fc8-4f5d-a9fc-5c55b144ba2f	ena-EXPERIMENT-TAB-15-05-2023-12:25:42:040-22818	ena-RUN-TAB-15-05-2023-12:25:42:041-22819	234291160	ad521a9444c87af963f525b38e8c0776	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/010/ERR11439310/ERR11439310.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR114/010/ERR11439310/ERR11439310.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/010/ERR11439310/ERR11439310.fastq.gz	386413595;5907200	2a2c2bc087cd6235da0f8b7db6ca2ac7;f2de4fe82f7acbadf250a1cb855a306a	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439310/GLN208_GRG007_IM.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439310/GLN208_GRG007_IM.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439310/GLN208_GRG007_IM.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439310/GLN208_GRG007_IM.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439310/GLN208_GRG007_IM.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439310/GLN208_GRG007_IM.bam.bai	BAM;BAI						GLN208		GLN208		2023-05-15
PRJEB61818	ERP146900	SAMEA113430485	ERS15425600	ERX10846622	ERR11439315	ERA23350737	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	GLN209_GRG061_TF		SINGLE	Targeted-Capture	GENOMIC	RANDOM	7447590	415449251	Max Planck Institute for Evolutionary Anthropology	2023-05-16	2023-05-16	Illumina HiSeq 4000 sequencing	Extensive pedigrees reveal the social organisation of a Neolithic community	5101f9ab-0fc8-4f5d-a9fc-5c55b144ba2f	ena-EXPERIMENT-TAB-15-05-2023-12:25:42:042-22828	ena-RUN-TAB-15-05-2023-12:25:42:042-22829	255419460	ac8af920dcc2fed746ce2496a0708c57	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/015/ERR11439315/ERR11439315.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR114/015/ERR11439315/ERR11439315.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/015/ERR11439315/ERR11439315.fastq.gz	363126228;6061072	2f374c4c437cc1ecd77ba91f2868645e;ec3d0bbe0efe5863c96113289399b7d7	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439315/GLN209_GRG061_TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439315/GLN209_GRG061_TF.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439315/GLN209_GRG061_TF.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439315/GLN209_GRG061_TF.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439315/GLN209_GRG061_TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439315/GLN209_GRG061_TF.bam.bai	BAM;BAI						GLN209		GLN209		2023-05-15
PRJEB61818	ERP146900	SAMEA113430488	ERS15425603	ERX10846631	ERR11439324	ERA23350737	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	GLN211B_GRG010_TF		SINGLE	Targeted-Capture	GENOMIC	RANDOM	2500344	153634884	Max Planck Institute for Evolutionary Anthropology	2023-05-16	2023-05-16	Illumina HiSeq 4000 sequencing	Extensive pedigrees reveal the social organisation of a Neolithic community	5101f9ab-0fc8-4f5d-a9fc-5c55b144ba2f	ena-EXPERIMENT-TAB-15-05-2023-12:25:42:044-22846	ena-RUN-TAB-15-05-2023-12:25:42:044-22847	94119234	8230eb0c66c79da2b060ad42ac48c254	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/024/ERR11439324/ERR11439324.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR114/024/ERR11439324/ERR11439324.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/024/ERR11439324/ERR11439324.fastq.gz	131307733;5837048	95cf72a87296b1e09aa619098cf0389b;384e3ed8feaca794297b774ed2ced554	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439324/GLN211B_GRG010_TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439324/GLN211B_GRG010_TF.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439324/GLN211B_GRG010_TF.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439324/GLN211B_GRG010_TF.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439324/GLN211B_GRG010_TF.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439324/GLN211B_GRG010_TF.bam.bai	BAM;BAI						GLN211B		GLN211B		2023-05-15
PRJEB61818	ERP146900	SAMEA113430488	ERS15425603	ERX10846632	ERR11439325	ERA23350737	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 4000	GLN211B_GRG010_YC		SINGLE	Targeted-Capture	GENOMIC	RANDOM	4204810	279287860	Max Planck Institute for Evolutionary Anthropology	2023-05-16	2023-05-16	Illumina HiSeq 4000 sequencing	Extensive pedigrees reveal the social organisation of a Neolithic community	5101f9ab-0fc8-4f5d-a9fc-5c55b144ba2f	ena-EXPERIMENT-TAB-15-05-2023-12:25:42:044-22848	ena-RUN-TAB-15-05-2023-12:25:42:044-22849	151864544	1e8c2b56bc1f77b5765f6e9db202bb55	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/025/ERR11439325/ERR11439325.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR114/025/ERR11439325/ERR11439325.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/025/ERR11439325/ERR11439325.fastq.gz	226103217;5928272	b9939be39df15d569f9b3a252c924f04;eada14e4c7a599710c5a2623b98b4767	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439325/GLN211B_GRG010_YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439325/GLN211B_GRG010_YC.bam.bai	fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439325/GLN211B_GRG010_YC.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR114/ERR11439325/GLN211B_GRG010_YC.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439325/GLN211B_GRG010_YC.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR11439325/GLN211B_GRG010_YC.bam.bai	BAM;BAI						GLN211B		GLN211B		2023-05-15
